,FEvals,Fitness,Iteration,Keep Percent,Population Size,State,Time,max_iters,use_fast_mimic
107,1505,8.0,4,0.75,300,"[6.0, 7.0, 3.0, 14.0, 5.0, 9.0, 15.0, 0.0, 6.0, 0.0, 13.0, 1.0, 12.0, 12.0, 8.0, 10.0]",1.3525634100005846,2048,False
108,2710,6.0,8,0.75,300,"[4.0, 1.0, 6.0, 0.0, 11.0, 13.0, 0.0, 3.0, 1.0, 15.0, 9.0, 2.0, 14.0, 10.0, 7.0, 2.0]",2.4248384590027854,2048,False
109,5119,5.0,16,0.75,300,"[10.0, 6.0, 11.0, 2.0, 4.0, 1.0, 15.0, 5.0, 3.0, 13.0, 0.0, 12.0, 14.0, 15.0, 7.0, 9.0]",4.554570244996285,2048,False
110,9936,4.0,32,0.75,300,"[13.0, 6.0, 14.0, 2.0, 4.0, 1.0, 3.0, 5.0, 3.0, 15.0, 0.0, 12.0, 14.0, 2.0, 7.0, 9.0]",8.829983611001808,2048,False
111,19568,4.0,64,0.75,300,"[13.0, 6.0, 14.0, 2.0, 4.0, 1.0, 3.0, 5.0, 3.0, 15.0, 0.0, 12.0, 14.0, 2.0, 7.0, 9.0]",17.241658585997357,2048,False
112,38832,4.0,128,0.75,300,"[13.0, 6.0, 14.0, 2.0, 4.0, 1.0, 3.0, 5.0, 3.0, 15.0, 0.0, 12.0, 14.0, 2.0, 7.0, 9.0]",33.52455991299939,2048,False
113,68029,4.0,256,0.75,300,"[13.0, 6.0, 14.0, 2.0, 4.0, 1.0, 3.0, 5.0, 3.0, 15.0, 0.0, 12.0, 14.0, 2.0, 7.0, 9.0]",57.58654365000257,2048,False
114,68029,4.0,512,0.75,300,"[13.0, 6.0, 14.0, 2.0, 4.0, 1.0, 3.0, 5.0, 3.0, 15.0, 0.0, 12.0, 14.0, 2.0, 7.0, 9.0]",57.58654365000257,2048,False
115,68029,4.0,1024,0.75,300,"[13.0, 6.0, 14.0, 2.0, 4.0, 1.0, 3.0, 5.0, 3.0, 15.0, 0.0, 12.0, 14.0, 2.0, 7.0, 9.0]",57.58654365000257,2048,False
116,68029,4.0,2048,0.75,300,"[13.0, 6.0, 14.0, 2.0, 4.0, 1.0, 3.0, 5.0, 3.0, 15.0, 0.0, 12.0, 14.0, 2.0, 7.0, 9.0]",57.58654365000257,2048,False
